Process Date,Buyer,Supplier,CIN,Item Desc,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,633,,5542923,VERAPAMIL HCL ER TB240MG 100 CPLT,Product in Blocked - FDC,72,1,1,,,,,,,
2025-02-17,625,,5062849,HYDROCHLOROTHIAZIDE TB 25MG 1000,Product in Blocked - FDC,72,3,3,,,,,,,
2025-02-17,627,,3725660,PRAVASTATIN TB 10MG 90,Product in Blocked - FDC,72,1,1,,,,,,,
2025-02-17,601,,5494018,XYOSTED SY 100MG/0.5ML 4X0.5ML C3,Product in Quarantine - FDC,72,1,1,,,,,,,
2025-02-17,627,,5502893,CIPROFLOXACIN DR 0.3% 2.5ML OPTH,Product in Blocked - FDC,71,50,50,,,,,,,
2025-02-17,624,,5516646,AZITHROMYCIN TB250MG 6UD BPK CPLT,Product in Blocked - FDC,70,9,9,,,,,,,
2025-02-17,606,,5245980,TRINTELLIX TB 10MG 30,Product in Blocked - FDC,67,24,24,,,,,,,
2025-02-17,648,,5809595,DIPHENHYDRAMINE CP 25MG 100,Product in Blocked - FDC,61,1,1,,,,,,,
2025-02-17,602,,5340716,VIVOTIF CP 4 BPK PF,Product in Blocked - FDC,54,7,7,,,,,,,
2025-02-17,625,,5718523,POVIDONE IODINE OI 10% 28.4GM,Product in Blocked - FDC,48,2,2,,,,,,,
2025-02-17,625,,5714449,OSELTAMIVIR PHOS PT 6MG/ML 60ML,Product in Quarantine - FDC,48,18,18,,,,,,,
2025-02-17,625,,5673066,STMCH RLF LQ525MG/15ML237ML AF SF,Product in Blocked - FDC,48,4,4,,,,,,,
2025-02-17,648,,5811708,NASONEX SN 50MCG 10ML 24HR ALG,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,645,,5582085,HIMALAYAN NETI SALT PK 60,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,628,,5694385,LUBIPROSTONE GC 24MCG 60 SFG,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,633,,5548532,POTASSIUM CL TB 8MEQ 100 ER,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,632,,5660055,DESONIDE CR 0.05% 15GM,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,602,,3334042,TRI-LUMA CR 0.01-4-0.05% 30GM,Product in Quarantine - FDC,47,3,3,,,,,,,
2025-02-17,633,,2728731,LIDOCAINE HCL SF 2% 10X5ML,Product in Blocked - FDC,45,7,7,,,,,,,
2025-02-17,625,,5305768,TROSPIUM CHLORIDE TB 20MG 60,Product in Blocked - FDC,43,8,8,,,,,,,
2025-02-17,641,,5789243,LDR TM COQ-10 GC 100MG 108 SFG,Product in Blocked - FDC,41,3,3,,,,,,,
2025-02-17,640,,5822887,DEXCOM G7 SENSOR KT,Product in Blocked - FDC,40,5,5,,,,,,,
2025-02-17,628,,4809851,LAMOTRIGINE ER TB 250MG 30,Product in Blocked - FDC,36,5,5,,,,,,,
