Process Date,Buyer,Supplier,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,633,,5415773,DOCETAXEL MD 20MG/ML 8ML,28,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,625,,5796537,CHLORZOXAZONE TB 500MG 100 CPLT,10,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,625,,5085410,CEFIXIME PT 100MG/5ML 50ML,11,Product in Blocked - FDC,1,1,2,,,,,,,
2025-02-17,625,,5891528,TURQOZ TB 0.3-0.03MG 3X28 BPK,10,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,627,,5853742,AMPHET SALT CMB ER CP 30MG 100 C2,10,Product in Blocked - FDC,1,1,1,,,,,,,
2025-02-17,627,,5917315,LISDEXAMFETAMINE CP 60MG 90    C2,10,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,4986436,GABAPENTIN CP 300MG 500,19,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,5692223,DEXMETHYLPHD ER CP 20MG 100    C2,10,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,4518791,ONDANSETRON HCL SL 4MG/5ML 50ML,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,5917315,LISDEXAMFETAMINE CP 60MG 90    C2,16,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,5242797,AMPHET SLT CMB ER CP 10MG 100  C2,16,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,625,,5581400,INDOCYANINE GREEN PR 25MG 6 W/DIL,43,Product in Blocked - FDC,0,11,11,,,,,,,
2025-02-17,627,,4518791,ONDANSETRON HCL SL 4MG/5ML 50ML,16,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,5394721,METHYLPHENIDATE TB 18MG 100 ER C2,35,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,5917315,LISDEXAMFETAMINE CP 60MG 90    C2,26,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,627,,5565700,DOTTI AP 0.1MG/24H 8,35,Product in Blocked - FDC,0,1,1,,,,,,,
2025-02-17,625,,2291243,IBUPROFEN TB 200MG 100 BRN CPLT,26,Product in Blocked - FDC,0,5,5,,,,,,,
2025-02-17,625,,4278065,IMIPRAMINE PAMOATE CP 75MG 30,34,Product in Blocked - NLC,0,3,3,,,,,,,
2025-02-17,625,,5421003,OSELTAMIVIR PHOS CP 75MG 10UD BPK,43,Product in Blocked - FDC,0,3,3,,,,,,,
