Process Date,Buyer,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2024-12-18,622,4240941,TOPIRAMATE TB 100MG 60,10 - Jackson,Product in Quarantine - NLC,96,59,59,,,,,,
2024-12-18,628,5776117,SUCRALFATE SS 1GM/10ML 414ML ORAL,34 - Sacramento,Product in Quarantine - NLC,72,1,1,,,,,,
2024-12-18,628,5776117,SUCRALFATE SS 1GM/10ML 414ML ORAL,6 - Boston,Product in Quarantine - NLC,72,1,1,,,,,,
2024-12-18,645,1330471,ADVIL TB 200MG 24,15 - Aurora,Product in Blocked - FDC,72,6,6,,,,,,
2024-12-18,639,2938298,L-LYSINE W/A/D/E OI 26.25GM,64 - Kinray,Product in Blocked - FDC,60,1,1,,,,,,
2024-12-18,605,5610969,TERIPARATIDE SY 250MCG/ML 2.48ML,19 - Phoenix,Product in Blocked - FDC,60,15,15,,,,,,
2024-12-18,605,5728308,WEGOVY SY 1MG/0.5ML 4X0.5ML PPN,64 - Kinray,Product in Blocked - FDC,48,70,71,,,,,,
2024-12-18,645,5913439,THERAFLU CW 10-325MG 20 APL/CIN,15 - Aurora,Product in Blocked - FDC,48,2,2,,,,,,
2024-12-18,633,5705512,RAMELTEON TB 8MG 30,34 - Sacramento,Product in Blocked - FDC,48,1,1,,,,,,
2024-12-18,627,3538394,CLOTRIM/BETAMETH CR 1-0.05% 15GM,34 - Sacramento,Product in Blocked - FDC,48,1,1,,,,,,
2024-12-18,633,5071071,OLANZAPINE TB 10MG 30,24 - Hudson,Product in Blocked - FDC,48,2,2,,,,,,
2024-12-18,633,5919337,LURASIDONE HCL TB 80MG 30,27 - Kansas City,Product in Blocked - NLC,48,3,3,,,,,,
2024-12-18,633,5324124,FENOFIBRATE TB 145MG 90,34 - Sacramento,Product in Blocked - FDC,48,13,13,,,,,,
2024-12-18,633,5919337,LURASIDONE HCL TB 80MG 30,16 - Dallas,Product in Blocked - NLC,48,1,1,,,,,,
2024-12-18,602,5728746,ACCRUFER CP 30MG 60,64 - Kinray,Product in Blocked - FDC,46,6,6,,,,,,
2024-12-18,641,5789243,LDR TM COQ-10 GC 100MG 108 SFG,8 - Wheeling,Product in Blocked - FDC,41,3,3,,,,,,
2024-12-18,605,5009469,JARDIANCE TB 25MG 30,10 - Jackson,Product in Blocked - FDC,41,36,37,,,,,,
2024-12-18,647,2363414,MONOJECT ALLERGY TR28GX0.5N1ML 25,10 - Jackson,Product in Blocked - FDC,40,3,3,,,,,,
2024-12-18,645,1047471,COMPOUND W GL 17% 0.25OZ,15 - Aurora,Product in Blocked - FDC,36,2,2,,,,,,
2024-12-18,627,5956164,DROPERIDOL SF 2.5MG/ML 25X1ML,24 - Hudson,Product in Quarantine - NLC,36,4,4,,,,,,
2024-12-18,627,5956164,DROPERIDOL SF 2.5MG/ML 25X1ML,27 - Kansas City,Product in Quarantine - NLC,36,3,3,,,,,,
2024-12-18,627,5956164,DROPERIDOL SF 2.5MG/ML 25X1ML,37 - Seattle,Product in Quarantine - NLC,36,1,1,,,,,,
2024-12-18,627,5956164,DROPERIDOL SF 2.5MG/ML 25X1ML,18 - St. Louis,Product in Quarantine - NLC,36,1,1,,,,,,
2024-12-18,627,5956164,DROPERIDOL SF 2.5MG/ML 25X1ML,16 - Dallas,Product in Quarantine - NLC,36,1,1,,,,,,
2024-12-18,605,5610969,TERIPARATIDE SY 250MCG/ML 2.48ML,26 - Greensboro,Product in Quarantine - FDC,36,5,5,,,,,,
2024-12-18,622,5763008,CLOBETASOL FM 0.05% 100GM EM,34 - Sacramento,Product in Blocked - NLC,36,1,3,,,,,,
2024-12-18,627,5956164,DROPERIDOL SF 2.5MG/ML 25X1ML,15 - Aurora,Product in Quarantine - NLC,36,2,2,,,,,,
2024-12-18,627,5956164,DROPERIDOL SF 2.5MG/ML 25X1ML,9 - Knoxville,Product in Quarantine - NLC,36,2,2,,,,,,
2024-12-18,627,5956164,DROPERIDOL SF 2.5MG/ML 25X1ML,10 - Jackson,Product in Quarantine - NLC,36,2,2,,,,,,
2024-12-18,654,4478665,CUBA JUNGLE SET SE 4PC WOMENS,64 - Kinray,Product in Blocked - FDC,35,1,1,,,,,,
2024-12-18,613,5838065,VEGZELMA SF 25MG/ML 16ML,19 - Phoenix,Product in Blocked - FDC,27,3,6,,,,,,
2024-12-18,625,4400693,LATANOPROST DR 0.005% 2.5ML,16 - Dallas,Product in Blocked - FDC,25,2,3,,,,,,
2024-12-18,625,2162790,ARGININE TB 500MG 50,24 - Hudson,Product in Blocked - FDC,24,1,1,,,,,,
2024-12-18,625,5581400,INDOCYANINE GREEN PR 25MG 6 W/DIL,34 - Sacramento,Product in Blocked - FDC,24,1,1,,,,,,
2024-12-18,625,5394044,BUPROPION TB 100MG 100,64 - Kinray,Product in Blocked - FDC,24,1,1,,,,,,
2024-12-18,625,5891882,ISOSORBIDE MONO TB 60MG 100 ER,10 - Jackson,Product in Quarantine - FDC,24,1,1,,,,,,
2024-12-18,602,3334042,TRI-LUMA CR 0.01-4-0.05% 30GM,26 - Greensboro,Product in Quarantine - FDC,24,1,1,,,,,,
